url,label
quantummana.com/,1
invoices190.online,0
newyork.citysearch.com/,1
https://www.eposcaed.co.jp.74tv.cn/,0
secure2-accountapps.serveirc.com,0
signalarethreetime.info,0
https://www.acosoeu-ascaosneouu.wiguyc.top/ic6oXx7P3s/page1.php,0
https://www.eki-net-members.02qss1p.cn/,0
ok.ppgo.asia/login/en/login.html,0
dodgy-coordinations.000webhostapp.com,0
leredsite.herokuapp.com,0
http://dev.klinikmatanusantara.com/log-au/mpp/signin/59b6/websrc,0
antiqueshoppesusa.com/missouriantiques.htm,1
groutpro.com.au,0
pradlolux.cz/system/helper/,0
vjyslonlp.biz/checkupdate,0
cerviacasa.it/cache/ajaoi/,0
www.tek-tips.com/threadminder.cfm?pid=619,1
twitter.com/laurenceleboeuf,1
http://www.activeliving.com.au/Dropbox/,0
https://connect-secur3d-userwellsfarg0.com/,0
secure3id.paypal.manage.account.spellberry.com,0
logosplus.mk/fonts/aly/ifr/bmw/mia.html??cmd=step2&amp;Dispatch=rzre6zren6cczre1d,0
youtube.com/watch?v=64F1MSLDrvg,1
http://tookout00tove.xyz/TNC/tnc/newtncupdating/TNC_webmail.html,0
https://qa.smbc.card02-taikai.club/mem/index,0
affiliatesheavenonline.com/wp-includes/js/8-login-form,0
bestchangas.net,0
comicvine.com/sasquatch/29-1478/,1
pepinlachancelaforce.com/zancetres.htm,1
https://2834321.mediaspace.kaltura.com/user/login,0
seoservicesouthflorida.com/vodafoneshop/vodafone_online-update.html,0
bylka.com,0
menardsrealestate.com/menardsrealestate/home.html,1
members.tripod.com/bb_catchers/catchers/listl.htm,1
content.usatoday.com/community/tags/topic.aspx?req=tag&tag=McClymonds,1
vutests.com/paypal.com/us/cgi-bin/webscr_cmd=_home&amp;amp;amp;country_lang.x=true/webscr.php,0
jesica03.beget.tech,0
usidentify.com/l/balkin,1
unityuser.blogspot.com,0
marxists.org/history/canada/quebec/patriotes-rebellion/nelson.htm,1
http://2017recover.esy.es/Sistem1/recovery-chekpoint-login.html,0
nyfuturestars.com/pitchers.php?player=jon_niese,1
empresarial.novoappjuridico.cf,0
williamsonherald.com/home?search_string=nance,1
curtwikstrom.com/,1
91.239.25.237:6892,0
facebook.com/group.php?gid=2248428881,1
https://server-server-apple.xyz/,0
http://lichtundliebeistleben.de/templates/Neues%20Verzeichnis/Impots.Gouvs/LogHome/file/bcc989b1e2e4a39c868d2f6cc038c7e0/redirection.php?g4d3bdOsiuarHDdBl0bEP6dBVy_wP1WJ6XZDh7nemRp9bv2mHJ0HYZaZV6xWExsS,0
amazon.com/Louis-Riel-Comic-Strip-Chester-Brown/dp/1896597637,1
www.paypal.it.59976.amezionuk.org/dml0YWNjYXJvY2NvMTk2N2xpYmVAbGliZXJvLml0/login.do?client=dml0YWNjYXJvY2NvMTk2N2xpYmVAbGliZXJvLml0,0
webmail.proimune.com.br/mail/lang/oks/cmm/,0
en.wikipedia.org/wiki/Dorion_(provincial_electoral_district),1
citizendia.org/French_monarchs_family_tree,1
bloggerreviews.info/0jlww3.php,0
ibiblio.org/Southern_Exposure/RFW.html,1
rutherfordfire.org/mortimeravenuefirehouse.htm,1
international.ucla.edu/article.asp?parentid=76527,1
motorsport.com/openwheel/news/montreal-friday-qualifying-summary-2002-08-30/,1
https://mnzhdqkroh.duckdns.org,0
1-4.prosv.ru,0
www.angelfire.com/ego/ptracker/index.html,1
crownedheart.com/,1
http://fnbl.co.za/deek/?mboxid=i6060437485232676864_500,0
camorg.net/document,0
http://ekl-not.verfier.shop/,0
https://amaezom.cfcvzls.cn/,0
wn.com/OREX,1
montrealgazette.com/Ville+%c3%89mard+indoor+pool+close+year/5431815/story.html,1
answers.com/topic/fabrizio-de-andr-1,1
https://www.saisoncard.btgs0yx4w.cn,0
zoa.com/clearlake/fairman.html,1
hannibal.net/sports/x481351028/Mexico-soccer-defeats-Hannibal,1
powells.com/biblio?isbn=9781551436548,1
https://serverr.jo573.cn/,0
netherlandweb00000.000webhostapp.com,0
depeckergent.com,0
3264164348543balo3.blob.core.windows.net,0
insobjec.wwwaz1-ss19.a2hosted.com,0
forts.org/history.htm,1
https://cut.ci/Web0pen,0
talbottrailinn.com,0
